,Date,Open,High,Low,Close,Volume
0,2017-08-17 04:00:00.000,301.13000000,302.57000000,298.00000000,301.61000000,125.66877000
1,2017-08-17 05:00:00.000,301.61000000,303.28000000,300.00000000,303.10000000,377.67246000
2,2017-08-17 06:00:00.000,302.40000000,304.44000000,301.90000000,302.68000000,303.86672000
3,2017-08-17 07:00:00.000,302.68000000,307.96000000,302.60000000,307.96000000,754.74510000
4,2017-08-17 08:00:00.000,307.95000000,309.97000000,307.00000000,308.62000000,150.75029000
5,2017-08-17 09:00:00.000,308.62000000,312.00000000,308.62000000,310.00000000,469.27879000
6,2017-08-17 10:00:00.000,310.00000000,310.97000000,308.54000000,309.30000000,284.39140000
7,2017-08-17 11:00:00.000,308.30000000,310.68000000,307.78000000,308.95000000,273.29040000
8,2017-08-17 12:00:00.000,308.95000000,310.51000000,307.98000000,308.62000000,401.79278000
9,2017-08-17 13:00:00.000,308.62000000,309.72000000,307.77000000,309.40000000,310.58042000
10,2017-08-17 14:00:00.000,307.77000000,308.71000000,305.49000000,306.50000000,710.25965000
11,2017-08-17 15:00:00.000,306.50000000,308.76000000,303.56000000,307.06000000,459.41982000
12,2017-08-17 16:00:00.000,307.74000000,312.18000000,298.21000000,308.00000000,596.81077000
13,2017-08-17 17:00:00.000,308.00000000,308.33000000,303.98000000,308.33000000,191.94856000
14,2017-08-17 18:00:00.000,308.33000000,311.53000000,298.96000000,309.10000000,203.65480000
15,2017-08-17 19:00:00.000,309.10000000,309.84000000,301.60000000,301.60000000,215.63779000
16,2017-08-17 20:00:00.000,301.60000000,309.40000000,299.01000000,304.79000000,272.42251000
17,2017-08-17 21:00:00.000,304.79000000,309.40000000,304.04000000,307.44000000,330.54526000
18,2017-08-17 22:00:00.000,308.57000000,310.74000000,303.44000000,306.74000000,368.36785000
19,2017-08-17 23:00:00.000,306.74000000,310.85000000,302.00000000,302.00000000,229.60620000
20,2017-08-18 00:00:00.000,302.00000000,306.20000000,297.40000000,301.19000000,501.26558000
21,2017-08-18 01:00:00.000,300.08000000,305.55000000,295.19000000,298.73000000,374.41661000
22,2017-08-18 02:00:00.000,298.73000000,304.70000000,298.73000000,300.52000000,208.96849000
23,2017-08-18 03:00:00.000,300.05000000,306.47000000,300.05000000,301.40000000,605.93251000
24,2017-08-18 04:00:00.000,301.40000000,302.95000000,298.41000000,301.80000000,444.33795000
25,2017-08-18 05:00:00.000,301.80000000,305.92000000,300.00000000,304.70000000,525.33357000
26,2017-08-18 06:00:00.000,304.70000000,307.00000000,303.21000000,307.00000000,356.12220000
27,2017-08-18 07:00:00.000,307.00000000,309.49000000,305.23000000,306.24000000,406.73244000
28,2017-08-18 08:00:00.000,306.24000000,310.85000000,303.79000000,304.23000000,313.23742000
29,2017-08-18 09:00:00.000,304.23000000,307.72000000,303.22000000,304.71000000,306.05941000
30,2017-08-18 10:00:00.000,304.73000000,311.06000000,304.73000000,308.88000000,332.56430000
31,2017-08-18 11:00:00.000,308.88000000,311.79000000,306.27000000,307.78000000,261.15170000
32,2017-08-18 12:00:00.000,307.78000000,310.29000000,305.73000000,308.47000000,388.17208000
33,2017-08-18 13:00:00.000,307.17000000,309.66000000,301.30000000,303.22000000,357.19041000
34,2017-08-18 14:00:00.000,303.22000000,303.22000000,296.32000000,298.52000000,398.64644000
35,2017-08-18 15:00:00.000,298.52000000,300.99000000,297.32000000,298.80000000,214.98578000
36,2017-08-18 16:00:00.000,298.80000000,301.11000000,295.64000000,299.21000000,403.96386000
37,2017-08-18 17:00:00.000,297.50000000,299.21000000,293.18000000,295.53000000,359.12225000
38,2017-08-18 18:00:00.000,295.53000000,298.25000000,289.75000000,289.75000000,412.39491000
39,2017-08-18 19:00:00.000,289.75000000,295.60000000,287.37000000,293.83000000,445.23397000
40,2017-08-18 20:00:00.000,295.46000000,295.46000000,288.25000000,291.87000000,748.21537000
41,2017-08-18 21:00:00.000,291.87000000,291.87000000,283.94000000,286.30000000,602.03512000
42,2017-08-18 22:00:00.000,288.01000000,294.19000000,284.02000000,293.74000000,477.84453000
43,2017-08-18 23:00:00.000,293.74000000,294.18000000,289.97000000,293.96000000,93.91956000
44,2017-08-19 00:00:00.000,293.31000000,297.15000000,293.31000000,295.44000000,86.00150000
45,2017-08-19 01:00:00.000,297.15000000,298.20000000,294.24000000,297.19000000,41.96377000
46,2017-08-19 02:00:00.000,297.19000000,299.84000000,296.56000000,299.84000000,87.48968000
47,2017-08-19 03:00:00.000,298.64000000,298.64000000,292.83000000,293.22000000,66.73802000
48,2017-08-19 04:00:00.000,294.69000000,297.19000000,291.87000000,291.87000000,42.99260000
49,2017-08-19 05:00:00.000,297.17000000,299.90000000,291.87000000,293.23000000,35.01324000
50,2017-08-19 06:00:00.000,293.69000000,295.56000000,289.02000000,289.02000000,45.02220000
51,2017-08-19 07:00:00.000,289.02000000,292.17000000,287.01000000,290.16000000,112.26406000
52,2017-08-19 08:00:00.000,290.16000000,290.16000000,287.00000000,288.40000000,148.37539000
53,2017-08-19 09:00:00.000,287.66000000,293.17000000,287.66000000,290.30000000,228.92457000
54,2017-08-19 10:00:00.000,291.36000000,292.24000000,283.58000000,287.14000000,447.45268000
55,2017-08-19 11:00:00.000,285.97000000,287.15000000,278.00000000,282.58000000,314.27781000
56,2017-08-19 12:00:00.000,281.39000000,290.85000000,279.56000000,290.85000000,166.32417000
57,2017-08-19 13:00:00.000,290.16000000,290.16000000,286.36000000,286.36000000,20.94515000
58,2017-08-19 14:00:00.000,285.50000000,288.64000000,283.00000000,283.00000000,13.81812000
59,2017-08-19 15:00:00.000,283.88000000,288.64000000,283.01000000,288.64000000,87.21250000
60,2017-08-19 16:00:00.000,288.64000000,290.16000000,286.12000000,286.14000000,61.94884000
61,2017-08-19 17:00:00.000,286.19000000,293.15000000,284.16000000,293.15000000,11.12991000
62,2017-08-19 18:00:00.000,294.33000000,295.00000000,288.95000000,295.00000000,41.13882000
63,2017-08-19 19:00:00.000,292.64000000,293.38000000,291.99000000,293.31000000,13.16832000
64,2017-08-19 20:00:00.000,290.60000000,291.85000000,288.80000000,290.31000000,13.80734000
65,2017-08-19 21:00:00.000,289.90000000,293.25000000,289.90000000,293.25000000,25.03040000
66,2017-08-19 22:00:00.000,293.25000000,294.90000000,290.91000000,290.91000000,35.15864000
67,2017-08-19 23:00:00.000,290.91000000,290.91000000,290.91000000,290.91000000,0.00000000
68,2017-08-20 00:00:00.000,289.41000000,292.42000000,286.91000000,287.00000000,15.54493000
69,2017-08-20 01:00:00.000,287.40000000,290.87000000,285.96000000,289.94000000,17.24852000
70,2017-08-20 02:00:00.000,289.94000000,292.42000000,287.66000000,292.42000000,32.59927000
71,2017-08-20 03:00:00.000,292.42000000,292.42000000,289.47000000,292.41000000,3.00820000
72,2017-08-20 04:00:00.000,287.97000000,288.31000000,287.97000000,288.30000000,6.65904000
73,2017-08-20 05:00:00.000,285.39000000,293.15000000,285.39000000,292.17000000,42.89756000
74,2017-08-20 06:00:00.000,292.17000000,293.15000000,289.00000000,293.12000000,35.00818000
75,2017-08-20 07:00:00.000,293.10000000,295.56000000,287.87000000,292.08000000,167.69750000
76,2017-08-20 08:00:00.000,293.02000000,295.98000000,282.85000000,295.98000000,159.52169000
