unix,Date,symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1.65E+12,3/11/2022 0:00,BTC/USDT,39422.01,39439.65,39310.25,39380.45,353.17819,13902632.72,8951
1.65E+12,3/10/2022 0:00,BTC/USDT,41941.7,42039.63,38539.73,39422,71950.25677,2853792081,1512384
1.65E+12,3/9/2022 0:00,BTC/USDT,38730.63,42594.06,38656.45,41941.71,67392.58799,2797240841,1570230
1.65E+12,3/8/2022 0:00,BTC/USDT,37988.01,39362.08,37867.65,38730.63,55528.43367,2147541838,1269742
1.65E+12,3/7/2022 0:00,BTC/USDT,38420.8,39547.57,37155,37988,63941.20316,2447310342,1454770
1.65E+12,3/6/2022 0:00,BTC/USDT,39397.97,39693.87,38088.57,38420.81,39677.26158,1542258010,986352
1.65E+12,3/5/2022 0:00,BTC/USDT,39148.65,39613.24,38407.59,39397.96,30363.13341,1187689935,879727
1.65E+12,3/4/2022 0:00,BTC/USDT,42454,42527.3,38550,39148.66,61964.68498,2527001271,1465066
1.65E+12,3/3/2022 0:00,BTC/USDT,43892.99,44101.12,41832.28,42454,50940.61021,2192152098,1289320
1.65E+12,3/2/2022 0:00,BTC/USDT,44421.2,45400,43334.09,43892.98,57782.65081,2550792948,1653131
1.65E+12,3/1/2022 0:00,BTC/USDT,43160,44949,42809.98,44421.2,61743.09873,2701611024,1866871
1.65E+12,2/28/2022 0:00,BTC/USDT,37699.08,44225.84,37450.17,43160,73945.63858,2975160226,1931087
1.65E+12,2/27/2022 0:00,BTC/USDT,39116.73,39855.7,37000,37699.07,46229.44719,1780512703,1265753
1.65E+12,2/26/2022 0:00,BTC/USDT,39219.16,40348.45,38573.18,39116.72,29361.2568,1152621720,924257
1.65E+12,2/25/2022 0:00,BTC/USDT,38328.68,39683.53,38014.37,39219.17,56574.57125,2197889580,1408558
1.65E+12,2/24/2022 0:00,BTC/USDT,37250.02,39843,34322.28,38327.21,120476.2946,4335107392,2622780
1.65E+12,2/23/2022 0:00,BTC/USDT,38230.33,39249.93,37036.79,37250.01,43560.732,1665486687,1030872
1.65E+12,2/22/2022 0:00,BTC/USDT,37008.16,38429,36350,38230.33,53785.94589,2010628231,1212527
1.65E+12,2/21/2022 0:00,BTC/USDT,38386.89,39494.35,36800,37008.16,62347.68496,2382027321,1352290
1.65E+12,2/20/2022 0:00,BTC/USDT,40079.17,40125.44,38000,38386.89,33439.29011,1293216601,811235
1.65E+12,2/19/2022 0:00,BTC/USDT,39974.45,40444.32,39639.03,40079.17,18042.0551,721960636.1,586653
1.65E+12,2/18/2022 0:00,BTC/USDT,40515.71,40959.88,39450,39974.44,43845.92241,1765622366,1025882
1.65E+12,2/17/2022 0:00,BTC/USDT,43873.56,44164.71,40073.21,40515.7,47245.99494,1993400163,1067658
1.64E+12,2/16/2022 0:00,BTC/USDT,44544.85,44549.97,43307,43873.56,28471.8727,1250973502,823745
1.64E+12,2/15/2022 0:00,BTC/USDT,42535.94,44751.4,42427.03,44544.86,38095.19576,1672855934,990694
1.64E+12,2/14/2022 0:00,BTC/USDT,42053.65,42842.4,41550.56,42535.94,34010.1306,1436927831,867622
1.64E+12,2/13/2022 0:00,BTC/USDT,42217.87,42760,41870,42053.66,17732.08113,750533311.7,624898
1.64E+12,2/12/2022 0:00,BTC/USDT,42373.73,43079.49,41688.88,42217.87,26556.85681,1123136005,830322
1.64E+12,2/11/2022 0:00,BTC/USDT,43495.44,43920,41938.51,42373.73,44975.1687,1937866769,1169354
1.64E+12,2/10/2022 0:00,BTC/USDT,44372.71,45821,43174.01,43495.44,62357.29091,2772188373,1541483
1.64E+12,2/9/2022 0:00,BTC/USDT,44043,44799,43117.92,44372.72,34428.16729,1512500139,1066395
1.64E+12,2/8/2022 0:00,BTC/USDT,43839.99,45492,42666,44042.99,64880.29387,2847485971,1653350
1.64E+12,2/7/2022 0:00,BTC/USDT,42380.87,44500.5,41645.85,43839.99,51060.62006,2204523610,1473274
1.64E+12,2/6/2022 0:00,BTC/USDT,41382.6,42656,41116.56,42380.87,22405.16704,934168802.9,788291
1.64E+12,2/5/2022 0:00,BTC/USDT,41571.7,41913.69,40843.01,41382.59,32532.34372,1349805516,1006352
1.64E+12,2/4/2022 0:00,BTC/USDT,37311.98,41772.33,37026.73,41574.25,64703.95874,2526572562,1380724
1.64E+12,2/3/2022 0:00,BTC/USDT,36896.37,37387,36250,37311.61,32081.10999,1179502839,848961
1.64E+12,2/2/2022 0:00,BTC/USDT,38694.59,38855.92,36586.95,36896.36,35794.6813,1353093949,907905
1.64E+12,2/1/2022 0:00,BTC/USDT,38466.9,39265.2,38000,38694.59,34574.44663,1334266167,917617
1.64E+12,1/31/2022 0:00,BTC/USDT,37881.75,38744,36632.61,38466.9,36855.2458,1386754529,936014
1.64E+12,1/30/2022 0:00,BTC/USDT,38166.83,38359.26,37351.63,37881.76,21430.66527,812750216.6,698593
1.64E+12,1/29/2022 0:00,BTC/USDT,37716.57,38720.74,37268.44,38166.84,26129.49682,989652387,816601
1.64E+12,1/28/2022 0:00,BTC/USDT,37160.11,38000,36155.01,37716.56,42154.26956,1560203931,1061101
1.64E+12,1/27/2022 0:00,BTC/USDT,36807.24,37234.47,35507.01,37160.1,53020.87934,1925920128,1308408
1.64E+12,1/26/2022 0:00,BTC/USDT,36958.32,38919.98,36234.63,36809.34,69830.16036,2627491977,1584468
1.64E+12,1/25/2022 0:00,BTC/USDT,36660.35,37545.14,35701,36958.32,49232.40183,1799224214,1248246
1.64E+12,1/24/2022 0:00,BTC/USDT,36244.55,37550,32917.17,36660.35,91904.75321,3192041586,1999352
1.64E+12,1/23/2022 0:00,BTC/USDT,35071.42,36499,34601.01,36244.55,44279.52354,1572414639,1142407
1.64E+12,1/22/2022 0:00,BTC/USDT,36445.31,36835.22,34008,35071.42,90471.33896,3207531048,2099978
1.64E+12,1/21/2022 0:00,BTC/USDT,40680.92,41100,35440.45,36445.31,88860.892,3405501703,2092561
1.64E+12,1/20/2022 0:00,BTC/USDT,41660,43505,40553.31,40680.91,42330.33953,1784801200,1098761
1.64E+12,1/19/2022 0:00,BTC/USDT,42352.12,42559.13,41138.56,41660.01,31685.72159,1327478459,924528
1.64E+12,1/18/2022 0:00,BTC/USDT,42201.63,42691,41250,42352.12,29324.08257,1228459687,905061
1.64E+12,1/17/2022 0:00,BTC/USDT,43071.66,43176.18,41540.42,42201.62,27562.08613,1169381684,918029
1.64E+12,1/16/2022 0:00,BTC/USDT,43084.29,43475,42581.79,43071.66,20602.35271,887203134.1,732171
1.64E+12,1/15/2022 0:00,BTC/USDT,43059.96,43800,42555,43084.29,21936.05616,946488263.5,752688
1.64E+12,1/14/2022 0:00,BTC/USDT,42558.35,43448.78,41725.95,43059.96,32640.88292,1392000443,946938
1.64E+12,1/13/2022 0:00,BTC/USDT,43902.65,44500,42311.22,42560.11,34910.87762,1515944525,1036234
1.64E+12,1/12/2022 0:00,BTC/USDT,42729.29,44322,42450,43902.66,33943.2928,1470906438,1023902
1.64E+12,1/11/2022 0:00,BTC/USDT,41822.49,43100,41268.93,42729.29,37296.43729,1574803609,1015526
1.64E+12,1/10/2022 0:00,BTC/USDT,41864.62,42248.5,39650,41822.49,50729.17019,2088111340,1250983
1.64E+12,1/9/2022 0:00,BTC/USDT,41679.74,42786.7,41200.02,41864.62,22724.39426,952830064.5,752733
1.64E+12,1/8/2022 0:00,BTC/USDT,41566.48,42300,40501,41679.74,32952.73111,1367233495,1021908
1.64E+12,1/7/2022 0:00,BTC/USDT,43082.3,43145.83,40610,41566.48,54836.50818,2293851015,1406635
1.64E+12,1/6/2022 0:00,BTC/USDT,43451.14,43816,42430.58,43082.31,38880.37305,1674466154,1150707
1.64E+12,1/5/2022 0:00,BTC/USDT,45832.01,47070,42500,43451.13,51784.11857,2334288545,1478532
